HCPC (Health Care Common Procedure Code System) Code ,HCPC (Health Care Common Procedure Code System) Label,# of records with this HCPC code in 2004,# of people with this HCPC code in 2004,# of records with this HCPC code in 2005,# of people with this HCPC code in 2005,# of records with this HCPC code in 2006,# of people with this HCPC code in 2006,# of records with this HCPC code in 2007,# of people with this HCPC code in 2007,# of records with this HCPC code in 2008,# of people with this HCPC code in 2008,# of records with this HCPC code in 2009,# of people with this HCPC code in 2009,# of records with this HCPC code in 2010,# of people with this HCPC code in 2010,# of records with this HCPC code in 2011,# of people with this HCPC code in 2011,# of records with this HCPC code in 2012,# of people with this HCPC code in 2012,# of records with this HCPC code in 2013,# of people with this HCPC code in 2013,# of records with this HCPC code in 2014,# of people with this HCPC code in 2014
00940,ANESTHESIA VAGINAL PROCEDURE W/BIOPSY NOS,580,555,800,770,980,930,995,915,945,910,1185,1175,1230,1195,1315,1195,1110,1015,1090,990,550,520
00942,ANES COLPTMY VAGNC COLPRPHY INCL BX W/OPN URTL,155,155,295,295,440,440,475,475,550,535,570,535,450,435,495,455,465,420,515,465,430,420
00944,ANESTHESIA VAGINAL HYSTERECTOMY INCL BIOPSY,.,.,20,15,15,15,35,30,30,30,70,70,50,50,65,65,110,110,130,115,125,105
00948,ANESTHESIA CERVICAL CERCLAGE INCLUDING BIOPSY,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,0,0
00950,ANESTHESIA CULDOSCOPY INCLUDING BIOPSY,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
00952,ANES HYSTEROSCOPY&/HYSTEROSALPINGOGRAPHY W/BX,350,350,635,635,795,790,875,855,1065,1050,1215,1185,1325,1295,1175,1120,1400,1350,1460,1390,860,840
0099T,IMPLTJ INTRASTROMAL CORNEAL RING SEGMENTS,0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0
0100T,PLMT SCJNCL RTA PROSTH&PLS&IMPLTJ INTRA-OC RTA,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101T,EXTRCORPL SHOCK WAVE MUSCSKELE NOS HIGH ENERGY,0,0,0,0,0,0,.,.,.,.,0,0,0,0,.,.,0,0,0,0,.,.
0102T,EXTRCRPL SHOCK WAVE W/ANES LAT HUMERL EPICONDYLE,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
0103T,HOLOTRANSCOBALAMIN QUANTITATIVE,0,0,0,0,.,.,25,25,40,35,30,30,65,60,70,65,15,15,0,0,0,0
0104T,INERT GAS RBRTHING CAR OUTPUT MEAS REST,0,0,0,0,0,0,.,.,30,30,15,15,30,30,0,0,0,0,0,0,0,0
0105T,INERT GAS RBRTHING CAR OUTPUT MEAS XERS,0,0,0,0,0,0,.,.,30,30,20,20,30,30,0,0,0,0,0,0,0,0
0106T,QUANT SENSORY TEST&INTERPJ/XTR W/TOUCH STIMULI,0,0,0,0,0,0,0,0,0,0,40,40,50,45,40,40,90,90,25,25,35,35
0107T,QUANT SENSORY TEST&INTERPJ/XTR W/VIBRJ STIMULI,0,0,0,0,25,25,15,15,20,20,30,30,.,.,20,20,15,15,.,.,0,0
0108T,QUANT SENSORY TEST&INTERPJ/XTR W/COOL STIMULI,0,0,0,0,25,25,.,.,20,20,35,35,.,.,25,25,20,20,15,15,0,0
0109T,QUANT SENAORY TEST&INTERPJ/XTR W/HT-PN STIMULI,0,0,0,0,15,15,0,0,.,.,20,20,.,.,0,0,0,0,.,.,0,0
0110T,QUANT SENSORY TEST&INTERPJ/XTR OTHER STIMULI,0,0,0,0,.,.,0,0,0,0,0,0,0,0,55,55,95,95,35,35,45,45
01112,ANES BONE MARROW ASPIR&/BX ANT/PST ILIAC CREST,.,.,30,30,30,30,85,85,65,65,65,65,115,110,145,145,160,140,130,115,75,75
0111T,LONG-CHAIN OMEGA-3 FATTY ACIDS RBC MEMBS,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01120,ANESTHESIA ON BONY PELVIS,90,80,.,.,.,.,.,.,.,.,40,35,65,60,50,50,20,15,45,45,35,35
01130,ANESTHESIA BODY CAST APPLICATION OR REVISION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0115T,MTMS F2F 1ST 15 MIN 1ST ENCTR,0,0,0,0,65,65,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01160,ANES CLOSED SYMPHYSIS PUBIS/SACROILIAC JOINT,0,0,.,.,.,.,.,.,.,.,25,15,20,20,50,45,15,15,60,60,15,15
0116T,MTMS INDIV F2F 1ST 15 MIN SBSQ ENCTR,0,0,0,0,2505,440,3250,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01170,ANES OPEN SYMPHYSIS PUBIS/SACROILIAC JOINT,.,.,.,.,30,25,15,15,25,25,25,25,15,15,.,.,20,20,15,15,.,.
01173,ANES OPN RPR DISRPJ PELVIS/COLUMN FX ACETABULUM,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
0117T,MTMS INDIV F2F 1ST 15 MIN EA 15 MIN,0,0,0,0,.,.,195,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01180,ANESTHESIA OBTURATOR NEURECTOMY EXTRAPELVIC,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
01200,ANESTHESIA CLOSED HIP JOINT PROCEDURE,295,265,200,160,280,180,315,260,420,340,340,265,380,320,505,355,610,455,595,460,425,350
01202,ANESTHESIA ARTHROSCOPIC HIP JOINT PROCEDURE,0,0,.,.,.,.,15,15,30,25,45,45,25,25,35,35,45,45,55,55,20,20
01210,ANESTHESIA OPEN HIP JOINT PROCEDURE NOS,20,20,70,70,45,45,75,75,90,90,110,105,60,60,105,95,85,85,120,120,85,85
01212,ANESTHESIA OPEN HIP JOINT DISARTICULATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
01214,ANESTHESIA OPEN TOTAL HIP ARTHROPLASTY,.,.,.,.,0,0,35,35,.,.,15,15,15,15,25,25,15,15,.,.,.,.
01215,ANESTHESIA OPEN REVISION TOTAL HIP ARTHROPLASTY,0,0,0,0,0,0,0,0,.,.,.,.,0,0,.,.,15,15,0,0,0,0
01220,ANESTHESIA CLOSED PROCEDURES UPPER 2/3 FEMUR,0,0,.,.,.,.,.,.,15,15,0,0,.,.,20,20,20,20,20,15,.,.
01230,ANESTHESIA OPEN PROCEDURES UPPER 2/3 FEMUR NOS,15,15,25,25,40,40,110,105,85,75,55,45,60,60,60,55,70,70,20,20,45,45
01232,ANESTHESIA UPPER 2/3 FEMUR AMPUTATION,0,0,.,.,0,0,0,0,0,0,.,.,0,0,.,.,.,.,.,.,0,0
01234,ANES UPPER 2/3 FEMUR RADICAL RESCECTION,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0
0123T,FISTULIZATION SCLERA GLAUCOMA CILIARY BODY,0,0,0,0,0,0,15,15,0,0,.,.,15,15,0,0,0,0,.,.,0,0
0124T,CONJUNCTVL INC W/POST XTRSCLERA PLCMT PHARM AGNT,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0
01250,ANES NERVE MUSC TENDON FASCIA & BURSAE UPPER LEG,45,45,75,75,100,85,80,75,135,130,60,55,225,210,145,140,150,140,215,190,135,125
01260,ANES VEINS OF UPPER LEG INCLUDING EXPLORATION,85,85,80,75,100,100,130,130,115,105,165,165,190,185,115,110,130,125,95,90,85,85
0126T,COMMON CAROTID INTIMA MEDIA THICKNESS STUDY,0,0,0,0,100,95,155,155,215,215,310,305,235,230,165,160,345,340,535,525,375,375
01270,ANESTHESIA ARTERIES UPPER LEG INCL BYPASS GRAFT,20,20,55,55,30,30,25,25,25,25,30,30,25,25,35,35,55,50,40,40,40,35
01320,ANES NERVE MUSC TENDON FASCIA&BURSA KNEE&/POPLT,20,20,100,100,80,80,140,135,90,75,95,95,195,175,95,95,145,125,210,200,95,95
0133T,UPR GI NDSC WMATRL NJX LWR ESOPHGL SPHNCTR,0,0,0,0,50,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01340,ANESTHESIA CLOSED PROCEDURES LOWER 1/3 FEMUR,.,.,.,.,.,.,0,0,.,.,20,15,.,.,.,.,30,30,15,15,.,.
0135T,ABLTJ RNL TUM UNI PRQ CRTX,0,0,0,0,165,155,295,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01360,ANESTHESIA OPEN PROCEDURES LOWER 1/3 FEMUR,15,15,35,30,.,.,.,.,35,35,15,15,30,30,55,45,40,40,30,25,25,25
0137T,BX PRST8 NDL SATURATION SAMPLING PRST8 MAPG,0,0,0,0,320,315,440,420,515,510,0,0,0,0,0,0,0,0,0,0,0,0
01380,ANESTHESIA CLOSED PROCEDURES KNEE JOINT,75,75,125,120,145,145,95,95,140,130,200,190,295,275,255,245,295,250,245,240,180,180
01382,ANESTH DIAGNOSTIC ARTHROSCOPIC PROC KNEE JOINT,365,350,400,395,370,360,460,445,530,525,565,500,495,440,365,355,360,350,385,330,280,260
01390,ANES CLOSED PROC UPPER END TIBIA FIBULA&/PATELLA,15,15,20,20,15,15,0,0,.,.,.,.,15,15,.,.,.,.,20,20,0,0
01392,ANES OPEN PROC UPPER ENDS TIBIA FIBULA&/PATELLA,45,45,65,65,75,70,60,50,95,90,150,125,125,110,130,125,130,125,115,100,95,95
01400,ANES OPEN/SURG ARTHROSCOPIC PROC KNEE JOINT NOS,785,765,1460,1430,2155,2080,2735,2635,2955,2805,3425,3255,3555,3310,3390,3205,3720,3485,3630,3455,2430,2300
01402,ANESTHESIA ARTHROSCOPIC TOTAL KNEE ARTHROPLASTY,0,0,.,.,30,30,30,30,60,60,50,45,70,70,50,50,60,60,25,20,50,45
01404,ANESTHESIA ARTHROSCOPIC KNEE DISARTICULATION,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
01420,ANES CAST APPLICATION REMOVAL/REPAIR KNEE JOINT,.,.,.,.,.,.,0,0,.,.,0,0,.,.,20,15,.,.,.,.,.,.
01430,ANESTHESIA VEINS KNEE & POPLITEAL AREA NOS,0,0,.,.,15,15,.,.,20,20,.,.,30,30,20,20,0,0,.,.,0,0
01432,ANESTHESIA VEINS KNEE & POPLITEAL ARVEN FISTULA,0,0,.,.,.,.,.,.,0,0,.,.,.,.,0,0,0,0,0,0,0,0
01440,ANESTHESIA ARTERIES OF KNEE & POPLITEAL AREA,0,0,0,0,.,.,0,0,0,0,.,.,.,.,15,15,15,15,20,20,15,15
01442,ANES ART KNEE POPLITEAL TEAEC W/WO PATCH GRAFT,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0144T,CT HRT QUAN EVAL CALCIUM,0,0,0,0,1790,1780,2555,2545,3405,3390,2675,2660,0,0,0,0,0,0,0,0,0,0
0145T,CT HRT STRUX MORPHOLOGY,0,0,0,0,705,700,985,975,1345,1325,1225,1185,0,0,0,0,0,0,0,0,0,0
01462,ANESTHESIA CLOSED PROC LOWER LEG ANKLE & FOOT,60,60,75,75,95,95,160,145,180,165,175,165,320,295,365,335,170,165,195,190,125,120
01464,ANESTHESIA ARTHROSCOPIC PROCEDURE ANKLE &/FOOT,25,25,40,40,60,55,55,50,80,75,50,50,55,50,100,100,100,90,140,130,60,60
0146T,CT HRT CTA W/O QUAN EVAL CALCIUM,0,0,0,0,2555,2545,5395,5335,5135,5090,4470,4440,0,0,0,0,0,0,0,0,0,0
01470,ANES NRV/MUS/TND/FASC LOWER LEG/ANKLE/FOOT NOS,190,190,425,410,580,550,735,710,820,805,725,680,770,705,880,830,995,915,1010,940,555,510
01472,ANES RPR RUPTURED ACHILLES TENDON +-PATCH GRAFT,.,.,40,40,40,40,30,30,25,25,45,45,65,60,70,65,80,80,105,95,75,70
01474,ANES NRV/MUS/TDN/FASC LWR L/A/F GASTRCN RECSN,.,.,0,0,.,.,30,30,15,15,.,.,.,.,25,20,35,35,50,45,.,.
0147T,CT HRT CTA W QUAN EVAL CALCIUM,0,0,0,0,4255,4230,6075,5925,5280,5195,5400,5310,0,0,0,0,0,0,0,0,0,0
01480,ANESTHESIA BONES LOWER LEG/ANKLE/FOOT OPEN PX,1255,1200,1460,1370,2085,1970,2645,2520,3090,2865,3755,3495,3940,3570,4095,3675,4555,4140,5150,4680,3350,3125
01482,ANES RADICAL RESECJ INCL BELOW KNEE AMPUTATION,35,35,30,30,20,20,25,25,30,30,30,30,0,0,30,30,45,45,35,35,25,25
01484,ANES OPEN OSTEOTOMY/OSTEOPLASTY TIBIA&/FIBULA,.,.,.,.,.,.,0,0,25,25,0,0,15,15,.,.,15,15,.,.,.,.
01486,ANESTHESIA OPEN TOTAL ANKLE REPLACEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0
0148T,CT HRT STRUX MORPHOLOGY CTA W/OQUAN EVAL CALCIUM,0,0,0,0,1900,1895,3260,3255,2875,2865,2455,2425,0,0,0,0,0,0,0,0,0,0
01490,ANES LOWER LEG CAST APPLICATION REMOVAL/REPAIR,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,0,0,0,0,.,.
0149T,CT HRT STRUX MORPHOLOGY CTA W QUAN EVAL CALCIUM,0,0,0,0,4195,4170,6785,6655,5800,5710,5075,5025,0,0,0,0,0,0,0,0,0,0
01500,ANESTHESIA ARTERIES LOWER LEG W/BYPASS GRAFT NOS,30,30,20,20,.,.,20,20,.,.,25,25,20,15,.,.,15,15,20,15,15,15
0150T,CT HRT STRUX MORPHOLOGY CGEN HRT DS,0,0,0,0,45,45,45,45,60,60,45,45,0,0,0,0,0,0,0,0,0,0
0151T,CT HRT FUNCTION EVALUATION,0,0,0,0,3365,3345,7070,7020,6000,5950,5360,5325,0,0,0,0,0,0,0,0,0,0
01520,ANESTHESIA VEINS OF LOWER LEG NOS,95,85,170,170,240,240,235,215,180,155,225,205,250,235,190,175,170,165,250,235,170,140
01522,ANES VEINS LOWER LEG VENOUS THRMBC DIR/W/CATH,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0152T,CPTR AID DETCJ CHEST RADIOGRAPH,0,0,0,0,1480,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0154T,ANEURYSMAL SAC SENSOR STUDY,0,0,0,0,55,40,95,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0159T,COMPUTER AIDED DETECTION BREAST MRI,0,0,0,0,420,415,4180,3940,8140,7590,11785,11180,11570,10985,13725,13000,15045,14360,16450,15615,14555,13920
0160T,TRANSCRANIAL MAG STIMJ TX PLANNING,0,0,0,0,0,0,0,0,0,0,20,20,.,.,0,0,0,0,0,0,0,0
01610,ANES NRV MUSC TNDN FSCIA BURSA SHOULDER & AXILLA,305,295,395,395,665,630,545,540,765,755,700,685,1015,965,800,745,835,780,810,775,840,805
0161T,TRANSCRANIAL MAG STIMJ TX DLVR & MGMT,0,0,0,0,0,0,0,0,0,0,.,.,130,15,0,0,0,0,0,0,0,0
01620,ANES CLOSED HUMRL H/N STRNCLAV JOINT& SHO JOINT,120,120,195,185,175,175,205,195,285,260,285,270,275,250,325,295,370,335,335,325,285,285
01622,ANES SHOULDER JOINT DIAGNOSTIC ARTHROSCOPIC PX,105,105,100,100,65,65,100,95,85,80,95,90,165,165,120,120,125,105,135,130,115,110
01630,ANES ARTHRS HUMERAL H/N STRNCLAV&SHOULDER JOINT,645,635,1145,1120,1605,1555,1950,1855,2060,1975,2475,2395,2815,2640,3235,3045,2975,2775,2930,2815,2445,2325
01632,ANES ARTHRS HUMRL H/N STRNCLAV&SHO JOINT RAD,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,0,0,0
01634,ANESTHESIA ARTHROSCOPIC SHOULDER DISARTICULATION,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.
01636,ANES ARTHRS INTERTHORACOSCAPULAR AMPUTATION,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
01638,ANES ARTHROSCOPIC TOTAL SHOULDER REPLACEMENT,0,0,0,0,.,.,.,.,.,.,.,.,0,0,15,15,15,15,25,25,20,20
01650,ANESTHESIA ARTERIES SHOULDER & AXILLA NOS,.,.,.,.,.,.,0,0,0,0,.,.,0,0,.,.,0,0,.,.,.,.
01652,ANESTHESIA AXILLARY-BRACHIAL ANEURYSM,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01654,ANES ARTERIES SHOULDER & AXILLA BYPASS GRAFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
01670,ANESTHESIA VEINS SHOULDER & AXILLA,.,.,.,.,.,.,0,0,0,0,.,.,15,15,0,0,.,.,.,.,0,0
01680,ANES SHOULDER CAST APPLICATION REMOVAL/REPAIR,0,0,.,.,.,.,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0
0170T,REPAIR ANORECTAL FISTULA W/PLUG,0,0,0,0,0,0,100,100,120,120,75,75,0,0,0,0,0,0,0,0,0,0
01710,ANES NRV MUSC TDN FSCA&BRS UPR ARM/ELBOW NOS,130,130,190,190,270,250,365,355,280,265,460,445,595,560,530,505,645,615,680,650,480,460
01712,ANESTHESIA OPEN TENOTOMY ELBOW TO SHOULDER,0,0,.,.,0,0,0,0,.,.,.,.,.,.,30,30,20,20,30,25,0,0
01714,ANES NRV MUSC TDN FSCA&BRS UPR A/E TENPLSTY,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.,0,0,0,0
01716,ANESTHESIA BICEPS TENODESIS RUPTURE LONG TENDON,.,.,.,.,.,.,.,.,0,0,15,15,15,15,.,.,30,30,55,55,65,65
0171T,PST SPINOUS PROCESS DEVICE INSERT LMBR 1 LVL,0,0,0,0,0,0,1530,1445,2565,2545,2490,2460,1730,1720,1260,1255,750,745,360,350,395,395
0172T,PST SPINOUS PROCESS DEVICE INSERT LMBR EA LVL,0,0,0,0,0,0,700,680,1210,1185,1170,1135,820,775,600,565,390,350,145,135,145,130
01730,ANESTHESIA CLOSED PROCEDURES HUMERUS & ELBOW,30,30,20,20,.,.,15,15,45,45,40,40,150,65,120,75,55,50,65,65,40,35
01732,ANESTHESIA ELBOW JOINT DIAGNOSTIC ARTHROSCOPIC,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,.,.,0,0,0,0
0173T,MONITOR INTRAOCULAR PRESS DURING VITRECTOMY,0,0,0,0,0,0,115,105,375,370,535,505,145,135,280,265,290,250,0,0,0,0
01740,ANESTHESIA ELBOW OPEN/SURGICAL ARTHROSCOPIC,55,55,170,165,170,170,245,220,265,255,265,250,410,385,300,290,255,235,340,325,285,250
01742,ANESTHESIA OPEN/SURG ARTHRS OSTEOTOMY HUMERUS,0,0,0,0,.,.,.,.,0,0,.,.,0,0,.,.,.,.,0,0,0,0
01744,ANES OPEN/SURG ARTHRS REPRS NON/MALUNION HUMERUS,.,.,0,0,.,.,.,.,.,.,.,.,30,25,20,20,20,20,35,35,35,35
0174T,CAD CHEST RADIOGRAPH CONCURRENT W/INTERPRETATION,0,0,0,0,0,0,3810,3630,5185,4750,5280,4690,2400,2200,625,555,525,455,440,360,360,300
01756,ANESTHESIA OPEN/SURG ARTHRS RADICAL PROC ELBOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
01758,ANESTH OPEN/SURG ARTHRS EXC CYST/TUMOR HUMERUS,0,0,0,0,0,0,0,0,0,0,20,15,0,0,.,.,0,0,0,0,0,0
0175T,CAD CHEST RADIOGRAPH REMOTE FROM PRIMARY INTERPJ,0,0,0,0,0,0,.,.,30,30,40,40,25,25,20,20,.,.,0,0,0,0
01760,ANESTH OPEN/SURG ARTHRS TOTAL ELBOW REPLACEMENT,0,0,0,0,.,.,0,0,.,.,.,.,0,0,0,0,.,.,.,.,.,.
0176T,AQUEOUS CANAL TRLUML DILAT W/O STENT RETENTION,0,0,0,0,0,0,.,.,25,25,25,25,65,65,0,0,0,0,0,0,0,0
01770,ANESTHESIA ARTERIES UPPER ARM & ELBOW NOS,225,190,75,75,135,130,175,165,155,150,100,85,85,85,60,60,75,70,90,85,30,30
01772,ANESTHESIA ARTERIES UPPER ARM&ELBOW EMBOLECTOMY,.,.,0,0,.,.,0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0
0177T,AQUEOUS CANAL TRLUML DILAT W STENT RETENTION,0,0,0,0,0,0,.,.,50,50,45,45,190,180,0,0,0,0,0,0,0,0
01780,ANESTH CLOSED PROC RADIUS ULNA WRIST/HAND BONES,185,170,190,175,195,185,215,205,180,170,105,105,65,60,155,150,40,40,45,45,15,15
01782,ANESTHESIA VEINS UPPER ARM & ELBOW PHLEBORRHAPHY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
0179T,64 LEAD ECG W/TRACING & GRAPHICS,0,0,0,0,0,0,0,0,35,35,.,.,15,15,.,.,.,.,0,0,.,.
01810,ANES NERVE MUSCLE TDN FASCIA&BURSA FOREARM WRIST,1315,1250,2740,2430,3295,2995,3895,3595,4205,3750,5140,4610,5630,4975,6110,5320,6560,5730,6725,5925,5260,4670
01820,ANES RADIUS ULNA WRIST/HAND BONES CLOSED PX,290,275,335,330,410,390,425,410,485,460,440,405,515,470,490,430,480,415,560,485,330,305
01829,ANESTHESIA DIAGNOSTIC ARTHROSCOPIC PROC WRIST,0,0,0,0,.,.,15,15,.,.,25,20,.,.,0,0,.,.,0,0,0,0
0182T,HDR ELECTRONIC BRACHYTHERAPY PER FRACTION,0,0,0,0,0,0,0,0,160,45,310,75,480,155,640,210,470,120,375,115,510,125
01830,ANES ARTHRS/ENDSCPY DSTL RADIUS ULNA/WRIST/HAND,370,325,680,635,1030,955,1135,1065,1590,1495,1780,1625,1660,1525,1935,1720,2080,1910,1965,1850,1610,1500
01832,ANESTHESIA ARTHRS/ENDOSCPIC TOTAL WRIST REPLCMT,0,0,.,.,0,0,0,0,.,.,.,.,.,.,0,0,0,0,.,.,0,0
0183T,LOW FREQUENCY WOUND ULTRASOUND,0,0,0,0,0,0,0,0,18700,1425,21055,1890,17210,1450,15525,1560,17855,1705,14970,1320,0,0
01840,ANESTHESIA ARTERIES FOREARM WRIST & HAND NOS,55,50,65,60,115,110,80,80,95,85,95,90,75,75,30,30,45,45,50,45,30,30
01842,ANES ARTERIES FOREARM WRIST & HAND EMBOLECTOMY,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,0,0,0
01844,ANESTHESIA VASCULAR SHUNT/SHUNT REVISION,1015,765,1075,820,1535,1160,1295,1105,1835,1435,1995,1670,1935,1600,1715,1425,2065,1640,2095,1750,1025,820
0184T,RECTAL TUMOR EXCISION TRANSANAL ENDOSCOPIC,0,0,0,0,0,0,0,0,45,45,50,45,60,60,35,30,210,210,275,275,175,175
01850,ANESTHESIA VEINS FOREARM WRIST & HAND NOS,25,25,45,40,35,30,50,45,40,20,30,30,35,35,55,55,40,40,20,20,20,20
01852,ANES VEINS FOREARM WRIST & HAND PHLEBORRHAPHY,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0185T,MULTIVARIATE ALYS PT FINDINGS CPTR PROBABILITY,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,.,.,0,0,0,0
01860,ANES FOREARM WRIST/HAND CAST APPL RMVL/REPAIR,.,.,0,0,0,0,.,.,0,0,.,.,.,.,0,0,.,.,.,.,0,0
0187T,SCANNING CPTRIZED OPH DX IMG ANTERIOR I&R UNI,0,0,0,0,0,0,0,0,15,15,260,175,315,195,0,0,0,0,0,0,0,0
01905,ANES MYELOGRAPY DISKOGRAPY VRTPLS,55,50,60,60,55,55,155,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0190T,INTRAOCULAR RADIATION SRC APPLICATOR PLACEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
01916,ANESTHESIA DIAGNOSTIC ARTERIOGRAPHY/VENOGRAPH,20,20,50,50,60,60,80,80,125,125,155,155,350,340,240,225,210,205,190,165,85,75
0191T,ANT SEGMENT INSERTION DRAINAGE W/O RESERVOIR INT,0,0,0,0,0,0,0,0,.,.,.,.,40,40,.,.,120,85,1205,885,2245,1660
01920,ANES C-CATHJ W/C ANGIOGRAPHY & VENTRICULOGRAPHY,490,485,1225,1065,160,160,90,90,30,30,75,75,70,70,40,40,90,90,310,300,385,350
01922,ANES NON-INVASIVE IMAGING/RADIATION THERAPY,195,185,490,450,305,295,400,390,445,430,455,400,635,565,685,640,840,750,1015,910,630,555
01924,ANESTHESIA THER IVNTL RADIOLOGICAL ARTERIAL,.,.,30,30,80,70,70,70,115,110,170,170,170,165,90,80,90,90,125,115,380,360
01925,ANESTHESIA CAROTID/CORONARY THER IVNTL RAD,0,0,0,0,0,0,0,0,.,.,0,0,.,.,.,.,.,.,.,.,0,0
01926,ANES ICRA ICAR/AORTIC THER IVNTL RAD ARTL,.,.,0,0,.,.,25,25,30,30,30,30,20,20,25,25,60,60,50,50,25,25
0192T,ANT SEGMENT INSERTION DRAINAGE W/O RESERVOIR EXT,0,0,0,0,0,0,0,0,60,60,410,370,580,520,1000,920,1080,1005,990,920,0,0
01930,ANESTHESIA VENOUS/LYMPHATIC NOS THER IVNTL RAD,0,0,0,0,30,30,30,30,60,55,80,75,160,115,70,60,135,110,155,140,90,90
01931,ANES THER IVNTL RAD VENS/LYMPHTC INTRHPTC/PORTAL,0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0,.,.,0,0,.,.
01932,ANESTHESIA INTRATHORACIC/JUGULAR THER IVNTL RAD,.,.,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.,.,.
01933,ANES INTRACRANIAL THER IVNTL RAD VENS/LYMPHTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
01935,ANESTHESIA PERQ IMAGE GUIDED SPINE DIAGNOSTIC,0,0,0,0,0,0,0,0,25,25,30,25,60,40,70,60,150,105,145,110,200,110
01936,ANESTHESIA PERQ IMAGE GUIDED SPINE THERAPEUTIC,0,0,0,0,0,0,0,0,275,235,440,390,615,490,945,660,1280,860,1210,890,985,775
0193T,TRANSURETHRAL RF BLADDER NECK MICROREMODEL,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
0194T,PROCALCITONIN (PCT),0,0,0,0,0,0,0,0,0,0,600,430,0,0,0,0,0,0,0,0,0,0
01951,ANES 2/3 DGR BRN EXC/DBRDMT W/WO GRFT <4 % TBSA,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,.,.,.,.
01952,ANES 2/3 DGR BRN EXC/DBRDMT W/WO GRFT 4-9 % TBSA,0,0,0,0,0,0,40,35,15,15,.,.,.,.,15,15,0,0,.,.,0,0
0195T,ARTHRODESIS PRESACRAL INTERBODY,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
01960,ANESTHESIA VAGINAL DELIVERY ONLY,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
01961,ANESTHESIA CESAREAN DELIVERY ONLY,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,.,0,0,0,0
01964,ANESTHESIA FOR ABORTION PROCEDURES,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
